Country Code,Year,Cereal production (metric tons),Food production index (2014-2016 = 100)
USA,1961,163619978,41.25
USA,1962,162455780,41.31
USA,1963,174812487,42.94
USA,1964,160937079,43.49
USA,1965,183602617,45.35
USA,1966,184444880,46.31
USA,1967,208158055,48.66
USA,1968,202538423,49.19
USA,1969,205288170,49.82
USA,1970,186860751,49.11
USA,1971,237624461,53.32
USA,1972,228117866,52.76
USA,1973,237683006,53.67
USA,1974,204617505,52.62
USA,1975,249283743,56.76
USA,1976,258200097,58.17
USA,1977,266014469,60.19
USA,1978,276602542,60.68
USA,1979,302625580,63.41
USA,1980,269883982,60.9
USA,1981,330889528,65.89
USA,1982,333103755,66.7
USA,1983,207657604,57.78
USA,1984,314749500,65.41
USA,1985,347118216,68.59
USA,1986,315331216,66.19
USA,1987,280494047,65.48
USA,1988,206528100,60.46
USA,1989,284238058,66.52
USA,1990,312410604,68.81
USA,1991,280063390.6,67.32
USA,1992,353025147.4,73.34
USA,1993,259105342.4,67.27
USA,1994,355934923.6,77
USA,1995,277601210,71.51
USA,1996,335780123.1,76.52
USA,1997,336582161.5,79.13
USA,1998,349425744.5,80.09
USA,1999,335364364,81.01
USA,2000,342631506,83
USA,2001,324994633.6,81.63
USA,2002,297143451.8,80.43
USA,2003,348247631.3,83.11
USA,2004,389023763.4,87.93
USA,2005,366436345.8,85.62
USA,2006,338336800,84.45
USA,2007,415130860,89.62
USA,2008,402399936,91.21
USA,2009,418666166.1,93.04
USA,2010,401126329.7,92.23
USA,2011,385545255.8,91.37
USA,2012,356210124,90.9
USA,2013,434308450,95.81
USA,2014,442849090,98.13
USA,2015,431870370.6,97.01
USA,2016,503466147.2,104.86
USA,2017,440271775,101.96
USA,2018,439707894.8,103.2
USA,2019,420869946.6,99.65
USA,2020,433256752.7,104.05
USA,2021,452628438.9,105.46
