Date,fuel_price,fuel_price_lag_1,fuel_price_lag_2,fuel_price_lag_3,fuel_price_lag_4,fuel_price_lag_5,fuel_price_lag_6,CPI,CPI_lag_1,CPI_lag_2,CPI_lag_3,CPI_lag_4,CPI_lag_5,CPI_lag_6,stock_value,stock_value_lag_1,stock_value_lag_2,stock_value_lag_3,stock_value_lag_4,Year,Exports,Imports,Cereal_Production,Food_Production,cereal_production_lag_1,food_prod_lag_1,food_prod_lag_2,food_prod_lag_3,food_prod_lag_4,food_prod_lag_5,food_prod_lag_6,food_prod_lag_7,food_prod_lag_8,food_prod_lag_9,interest,intrest_lag1,intrest_lag2,intrest_lag3,intrest_lag4,intrest_lag5,intrest_lag6
1990-09-01,1.258,,,,,,,6.32,6.244996,6.169872,5.953339,5.22508,6.153846,7.497962,5687.3,6114.99,6856.27,6824.35,6852.2,1990,14571289436.675398,17848996666.753998,312410604.0,68.81,66.52,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,65.89,8.2,8.13,8.15,8.29,8.18,8.26,8.28
1990-10-01,1.335,1.258,,,,,,6.379585,6.32,6.244996,6.169872,5.953339,5.22508,6.153846,5632.01,5687.3,6114.99,6856.27,6824.35,1990,14571289436.675398,17848996666.753998,312410604.0,68.81,66.52,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,65.89,8.11,8.2,8.13,8.15,8.29,8.18,8.26
1990-11-01,1.324,1.335,1.258,,,,,6.359301,6.379585,6.32,6.244996,6.169872,5.953339,5.22508,5887.2,5632.01,5687.3,6114.99,6856.27,1990,14571289436.675398,17848996666.753998,312410604.0,68.81,66.52,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,65.89,7.81,8.11,8.2,8.13,8.15,8.29,8.18
1990-12-01,1.251,1.324,1.335,1.258,,,,5.770751,6.359301,6.379585,6.32,6.244996,6.169872,5.953339,6057.42,5887.2,5632.01,5687.3,6114.99,1990,14571289436.675398,17848996666.753998,312410604.0,68.81,66.52,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,65.89,7.31,7.81,8.11,8.2,8.13,8.15,8.29
1991-01-01,1.153,1.251,1.324,1.335,1.258,,,4.122138,5.770751,6.359301,6.379585,6.32,6.244996,6.169872,6258.12,6057.42,5887.2,5632.01,5687.3,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,6.91,7.31,7.81,8.11,8.2,8.13,8.15
1991-02-01,1.094,1.153,1.251,1.324,1.335,1.258,,2.725208,4.122138,5.770751,6.359301,6.379585,6.32,6.244996,6580.02,6258.12,6057.42,5887.2,5632.01,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,6.25,6.91,7.31,7.81,8.11,8.2,8.13
1991-03-01,1.04,1.094,1.153,1.251,1.324,1.335,1.258,3.108415,2.725208,4.122138,5.770751,6.359301,6.379585,6.32,6643.6,6580.02,6258.12,6057.42,5887.2,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,6.12,6.25,6.91,7.31,7.81,8.11,8.2
1991-04-01,1.076,1.04,1.094,1.153,1.251,1.324,1.335,4.500381,3.108415,2.725208,4.122138,5.770751,6.359301,6.379585,6575.68,6643.6,6580.02,6258.12,6057.42,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,5.91,6.12,6.25,6.91,7.31,7.81,8.11
1991-05-01,1.126,1.076,1.04,1.094,1.153,1.251,1.324,4.583652,4.500381,3.108415,2.725208,4.122138,5.770751,6.359301,6872.43,6575.68,6643.6,6580.02,6258.12,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,5.78,5.91,6.12,6.25,6.91,7.31,7.81
1991-06-01,1.128,1.126,1.076,1.04,1.094,1.153,1.251,4.328018,4.583652,4.500381,3.108415,2.725208,4.122138,5.770751,6577.98,6872.43,6575.68,6643.6,6580.02,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,5.9,5.78,5.91,6.12,6.25,6.91,7.31
1991-07-01,1.096,1.128,1.126,1.076,1.04,1.094,1.153,2.64151,4.328018,4.583652,4.500381,3.108415,2.725208,4.122138,6836.09,6577.98,6872.43,6575.68,6643.6,1991,17127529871.498068,17417261568.38455,280063390.6,67.32,68.81,68.81,66.52,60.46,65.48,66.19,68.59,65.41,57.78,66.7,5.82,5.9,5.78,5.91,6.12,6.25,6.91
