date,real,nominal
1915-01-01,1723.00,56.540
1915-02-01,1693.46,55.020
1915-03-01,1891.20,60.830
1915-04-01,2209.32,71.780
1915-05-01,1981.11,65.010
1915-06-01,2135.01,70.060
1915-07-01,2301.70,75.530
1915-08-01,2474.49,81.200
1915-09-01,2760.33,90.580
1915-10-01,2876.88,95.340
1915-11-01,2889.89,96.710
1915-12-01,2962.80,99.150
1916-01-01,2680.72,90.580
1916-02-01,2694.03,91.030
1916-03-01,2733.44,93.250
1916-04-01,2603.17,89.650
1916-05-01,2640.63,91.800
1916-06-01,2552.94,89.580
1916-07-01,2543.54,89.250
1916-08-01,2604.96,92.250
1916-09-01,2876.33,103.730
1916-10-01,2849.37,104.610
1916-11-01,2836.18,105.970
1916-12-01,2520.73,95.000
1917-01-01,2510.48,95.430
1917-02-01,2348.42,91.560
1917-03-01,2480.77,96.720
1917-04-01,2277.42,93.230
1917-05-01,2341.60,97.380
1917-06-01,2258.22,95.380
1917-07-01,2206.22,91.750
1917-08-01,1974.58,83.400
1917-09-01,1931.43,83.460
1917-10-01,1698.53,74.500
1917-11-01,1656.35,72.650
1917-12-01,1671.02,74.380
1918-01-01,1754.40,79.800
1918-02-01,1754.83,80.390
1918-03-01,1679.87,76.410
1918-04-01,1680.03,77.510
1918-05-01,1657.40,78.080
1918-06-01,1729.06,82.580
1918-07-01,1655.71,81.230
1918-08-01,1648.05,82.460
1918-09-01,1660.07,84.680
1918-10-01,1644.96,85.510
1918-11-01,1528.20,80.930
1918-12-01,1533.36,82.200
1919-01-01,1503.70,80.610
1919-02-01,1611.31,84.810
1919-03-01,1667.54,88.850
1919-04-01,1711.78,92.880
1919-05-01,1921.37,105.500
1919-06-01,1948.32,106.980
1919-07-01,1895.55,107.160
1919-08-01,1821.50,104.750
1919-09-01,1926.67,111.420
1919-10-01,2022.23,118.920
1919-11-01,1725.59,103.720
1919-12-01,1746.24,107.230
1920-01-01,1661.94,104.210
1920-02-01,1439.19,91.180
1920-03-01,1606.30,102.810
1920-04-01,1418.25,93.540
1920-05-01,1371.73,91.810
1920-06-01,1336.62,90.760
1920-07-01,1285.21,86.850
1920-08-01,1306.36,86.160
1920-09-01,1276.52,82.950
1920-10-01,1315.93,85.080
1920-11-01,1182.04,76.040
1920-12-01,1141.49,71.950
1921-01-01,1233.23,76.130
1921-02-01,1254.27,74.980
1921-03-01,1274.21,75.760
1921-04-01,1336.08,78.570
1921-05-01,1277.05,73.440
1921-06-01,1197.05,68.450
1921-07-01,1188.89,68.370
1921-08-01,1166.98,67.110
1921-09-01,1250.16,71.080
1921-10-01,1287.62,73.210
1921-11-01,1367.36,77.300
1921-12-01,1437.51,80.800
1922-01-01,1480.64,81.300
1922-02-01,1556.40,85.460
1922-03-01,1641.19,89.050
1922-04-01,1694.27,91.930
1922-05-01,1769.83,96.030
1922-06-01,1712.70,92.930
1922-07-01,1778.05,97.050
1922-08-01,1868.66,100.780
1922-09-01,1800.80,97.120
1922-10-01,1771.31,96.110
1922-11-01,1734.08,94.650
1922-12-01,1787.87,98.170
1923-01-01,1785.02,97.430
1923-02-01,1903.55,103.900
1923-03-01,1882.85,102.770
1923-04-01,1791.70,98.380
1923-05-01,1776.22,97.530
1923-06-01,1600.48,88.400
1923-07-01,1555.25,86.910
1923-08-01,1682.19,93.460
1923-09-01,1574.22,87.970
1923-10-01,1575.04,88.530
1923-11-01,1642.82,92.340
1923-12-01,1699.40,95.520
1924-01-01,1790.84,100.660
1924-02-01,1748.16,97.690
1924-03-01,1660.95,92.280
1924-04-01,1640.86,90.630
1924-05-01,1627.64,89.900
1924-06-01,1744.78,96.370
1924-07-01,1838.42,102.140
1924-08-01,1885.45,104.140
1924-09-01,1856.78,103.160
1924-10-01,1862.15,104.060
1924-11-01,1988.13,111.100
1924-12-01,2143.99,120.510
1925-01-01,2197.01,123.490
1925-02-01,2187.48,122.240
1925-03-01,2077.10,116.750
1925-04-01,2147.58,120.010
1925-05-01,2311.94,129.950
1925-06-01,2304.20,131.010
1925-07-01,2326.82,133.810
1925-08-01,2454.98,141.180
1925-09-01,2494.63,143.460
1925-10-01,2706.60,155.650
1925-11-01,2583.32,151.080
1925-12-01,2597.82,151.080
1926-01-01,2705.63,157.350
1926-02-01,2659.72,154.680
1926-03-01,2428.83,140.460
1926-04-01,2471.09,143.710
1926-05-01,2480.19,143.430
1926-06-01,2661.21,153.040
1926-07-01,2817.25,160.180
1926-08-01,2874.64,162.510
1926-09-01,2782.25,158.190
