number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout_rate,params_hidden1,params_hidden2,params_learning_rate,state
75,1.713331740474256,2023-11-21 17:37:58.693927,2023-11-21 17:43:14.887503,0 days 00:05:16.193576,sigmoid,0.1244472626739651,106,58,1.1859719124789223e-05,COMPLETE
39,1.9183863080522197,2023-11-21 14:42:13.256489,2023-11-21 14:47:25.895894,0 days 00:05:12.639405,sigmoid,0.19455644910721961,142,72,1.0095676689051672e-05,COMPLETE
21,1.9965973496198226,2023-11-21 13:15:13.025335,2023-11-21 13:20:10.970448,0 days 00:04:57.945113,sigmoid,0.209027056189606,109,69,1.358208068161242e-05,COMPLETE
58,2.0657907184916904,2023-11-21 16:11:31.495615,2023-11-21 16:16:47.531777,0 days 00:05:16.036162,sigmoid,0.1762521991173524,121,71,1.5331672546819935e-05,COMPLETE
23,2.0885678509147603,2023-11-21 13:25:06.692142,2023-11-21 13:31:20.478084,0 days 00:06:13.785942,sigmoid,0.24174013051775667,114,64,1.0353419708531707e-05,COMPLETE
54,2.1992486157096023,2023-11-21 15:54:08.059797,2023-11-21 15:59:32.743736,0 days 00:05:24.683939,sigmoid,0.15129543287303235,114,67,1.0093904190883685e-05,COMPLETE
71,2.2255952100081533,2023-11-21 17:16:15.996577,2023-11-21 17:21:57.480727,0 days 00:05:41.484150,sigmoid,0.10901041648147164,109,66,1.2289193751156798e-05,COMPLETE
41,2.2689104458134364,2023-11-21 14:48:23.081619,2023-11-21 14:53:34.399472,0 days 00:05:11.317853,sigmoid,0.18354500042516525,142,67,1.4870967888027502e-05,COMPLETE
33,2.2726040396160334,2023-11-21 14:19:32.101862,2023-11-21 14:24:34.299162,0 days 00:05:02.197300,sigmoid,0.2051970772640842,146,72,1.0365474216733386e-05,COMPLETE
72,2.2982416150097498,2023-11-21 17:21:57.481562,2023-11-21 17:27:25.223628,0 days 00:05:27.742066,sigmoid,0.1035410579696492,109,65,1.2163271705043911e-05,COMPLETE
79,2.302680113322415,2023-11-21 17:59:11.225797,2023-11-21 18:04:25.304350,0 days 00:05:14.078553,sigmoid,0.10875762167277057,117,62,1.1781837536011877e-05,COMPLETE
10,2.3121909464945496,2023-11-21 12:17:02.606169,2023-11-21 12:22:16.745358,0 days 00:05:14.139189,sigmoid,0.11235316155296052,109,68,1.3885022602466885e-05,COMPLETE
18,2.313233172809526,2023-11-21 12:59:09.621631,2023-11-21 13:04:34.799889,0 days 00:05:25.178258,sigmoid,0.26535391890287297,146,69,2.0333896316978836e-05,COMPLETE
68,2.3428936618100904,2023-11-21 17:04:35.370709,2023-11-21 17:09:51.991426,0 days 00:05:16.620717,sigmoid,0.19847126656454395,101,62,1.021434372349848e-05,COMPLETE
50,2.408518277360762,2023-11-21 15:31:14.808627,2023-11-21 15:37:15.494548,0 days 00:06:00.685921,sigmoid,0.24640961006950238,132,56,1.3359507642463854e-05,COMPLETE
11,2.416011850225707,2023-11-21 12:22:16.746160,2023-11-21 12:27:37.094322,0 days 00:05:20.348162,sigmoid,0.11797087825290152,105,68,1.2387123108275588e-05,COMPLETE
44,2.4185581894573627,2023-11-21 15:03:58.192127,2023-11-21 15:09:10.410418,0 days 00:05:12.218291,sigmoid,0.20231911676159575,199,65,1.3966520721304188e-05,COMPLETE
55,2.424298312689533,2023-11-21 15:59:32.744942,2023-11-21 16:05:07.611469,0 days 00:05:34.866527,sigmoid,0.19961271192295765,115,64,1.0150319660510114e-05,COMPLETE
